"","zipcode","total","information","professional","per"
"1",90001,9690,32,91,0.0126934984520124
"2",90002,3722,0,4,0.00107469102632993
"3",90003,6984,0,39,0.00558419243986254
"4",90004,10313,218,610,0.0802870163870843
"5",90005,7365,241,365,0.0822810590631365
"6",90006,10195,77,378,0.0446297204512016
"7",90007,17711,94,259,0.0199311162554345
"8",90008,7188,130,22,0.0211463550361714
"9",90009,7470,0,0,0
"10",90010,28273,1104,4573,0.200792275315672
"11",90011,11191,38,66,0.00929318202126709
"12",90012,170045,2104,972,0.0180893292951866
"13",90013,20135,291,2006,0.11407996026819
"14",90014,13248,157,1884,0.154060990338164
"15",90015,37222,670,1068,0.0466928160765139
"16",90016,10659,672,452,0.105450792757294
"17",90017,68267,1681,14270,0.233656085663644
"18",90018,5840,12,258,0.0462328767123288
"19",90019,9808,60,407,0.0476141924959217
"20",90020,16480,46,157,0.0123179611650485
"21",90021,26517,343,1130,0.0555492702794434
"22",90022,20128,209,246,0.0226053259141494
"23",90023,18502,73,208,0.0151875472921846
"24",90024,48150,997,3213,0.0874350986500519
"25",90025,35907,3067,5820,0.247500487370151
"26",90026,10904,163,508,0.0615370506236244
"27",90027,27475,1659,602,0.0822929936305733
"28",90028,36255,6535,2970,0.262170735071025
"29",90029,7404,69,117,0.0251215559157212
"30",90030,227,NA,0,NA
"31",90031,10953,0,259,0.023646489546243
"32",90032,10287,14,0,0.00136094099348693
"33",90033,20456,42,327,0.0180387172467736
"34",90034,12365,573,841,0.114355034371209
"35",90035,12645,0,425,0.0336101225780941
"36",90036,31795,3600,3088,0.210347538921214
"37",90037,8206,0,16,0.00194979283451133
"38",90038,13855,3769,1142,0.35445687477445
"39",90039,9893,160,309,0.0474072576569291
"40",90040,46277,200,2240,0.0527259761868747
"41",90041,8726,208,301,0.0583314233325693
"42",90042,6157,74,127,0.0326457690433653
"43",90043,6756,14,32,0.00680876258140912
"44",90044,7312,28,0,0.00382932166301969
"45",90045,84885,2223,2353,0.0539082287801143
"46",90046,18954,877,1433,0.1218740107629
"47",90047,5758,11,66,0.0133726988537687
"48",90048,36599,731,3315,0.110549468564715
"49",90049,18167,1729,2945,0.257279682941597
"50",90050,10,NA,NA,NA
"51",90051,63,NA,0,NA
"52",90052,2984,NA,0,NA
"53",90053,0,NA,NA,NA
"54",90054,160,NA,0,NA
"55",90055,3,NA,0,NA
"56",90056,3070,30,399,0.139739413680782
"57",90057,11551,121,420,0.0468357717946498
"58",90058,39692,27,1592,0.0407890758843092
"59",90059,4903,0,0,0
"60",90060,46,NA,NA,NA
"61",90061,7965,0,119,0.0149403640929065
"62",90062,3223,4,5,0.00279242941358982
"63",90063,5700,0,52,0.00912280701754386
"64",90064,27791,5880,4110,0.359468892807024
"65",90065,10044,284,689,0.096873755475906
"66",90066,15973,1459,3667,0.32091654667251
"67",90067,32118,2625,9814,0.387290615854038
"68",90068,6462,686,412,0.16991643454039
"69",90069,23277,1693,2082,0.162177256519311
"70",90070,13,NA,0,NA
"71",90071,36021,0,12590,0.349518336525915
"72",90072,11,NA,0,NA
"73",90073,4359,NA,0,NA
"74",90075,9,0,0,0
"75",90076,2,NA,NA,NA
"76",90077,2803,20,79,0.0353193007491973
"77",90078,36,0,4,0.111111111111111
"78",90079,1041,33,96,0.123919308357349
"79",90080,3,NA,NA,NA
"80",90081,15,NA,0,NA
"81",90082,7,NA,NA,NA
"82",90083,7,NA,NA,NA
"83",90086,788,8,0,0.0101522842639594
"84",90087,5,0,NA,NA
"85",90089,19420,NA,0,NA
"86",90091,7,NA,NA,NA
"87",90093,91,NA,0,NA
"88",90094,6852,2044,1994,0.589316987740806
"89",90095,10545,NA,77,NA
"90",90201,19434,127,209,0.0172892868169188
"91",90202,36,NA,0,NA
"92",90209,214,12,0,0.0560747663551402
"93",90210,24441,1364,1613,0.121803526860603
"94",90211,12852,625,1458,0.162075941487706
"95",90212,16393,428,2358,0.169950588665894
"96",90213,229,0,2,0.00873362445414847
"97",90220,31082,281,905,0.0381571327456406
"98",90221,15362,0,131,0.00852753547715141
"99",90222,4488,0,0,0
"100",90223,2,NA,NA,NA
"101",90224,39,NA,0,NA
"102",90230,34889,2977,1774,0.136174725558199
"103",90231,3533,0,0,0
"104",90232,22860,4620,3712,0.364479440069991
"105",90233,2,NA,NA,NA
"106",90239,174,NA,NA,NA
"107",90240,6048,20,144,0.0271164021164021
"108",90241,23423,256,318,0.0245058276053452
"109",90242,14329,143,213,0.0248447204968944
"110",90245,67123,6261,12625,0.281364062988841
"111",90247,14151,163,144,0.0216945798883471
"112",90248,33470,0,1998,0.0596952494771437
"113",90249,10987,0,101,0.00919268226085374
"114",90250,26463,130,464,0.0224464346445981
"115",90251,97,NA,0,NA
"116",90254,7275,295,624,0.126323024054983
"117",90255,14287,74,236,0.0216980471757542
"118",90260,6571,0,257,0.0391112463856338
"119",90261,1361,NA,20,NA
"120",90262,11542,41,285,0.0282446716340322
"121",90263,1714,NA,NA,NA
"122",90264,45,NA,3,NA
"123",90265,8353,217,984,0.143780677600862
"124",90266,17658,464,2134,0.147128780156303
"125",90267,99,0,16,0.161616161616162
"126",90270,4173,NA,12,NA
"127",90272,4900,95,409,0.102857142857143
"128",90274,7999,206,824,0.12876609576197
"129",90275,5735,10,420,0.0749782040104621
"130",90277,11742,133,722,0.0728155339805825
"131",90278,14418,222,1063,0.0891247052295741
"132",90280,23463,0,474,0.0202020202020202
"133",90290,830,43,53,0.11566265060241
"134",90291,13095,1864,1865,0.284765177548683
"135",90292,14344,946,1713,0.18537367540435
"136",90293,1408,20,207,0.161221590909091
"137",90294,44,NA,0,NA
"138",90295,18,NA,6,NA
"139",90296,14,NA,NA,NA
"140",90301,13384,136,231,0.0274208009563658
"141",90302,5191,0,98,0.0188788287420536
"142",90303,6080,0,51,0.00838815789473684
"143",90304,3844,0,41,0.0106659729448491
"144",90305,1190,0,17,0.0142857142857143
"145",90306,25,NA,0,NA
"146",90307,9,NA,0,NA
"147",90308,44,NA,NA,NA
"148",90310,134,NA,NA,NA
"149",90311,13,NA,0,NA
"150",90312,40,NA,0,NA
"151",90401,30317,3126,4557,0.253422172378533
"152",90402,1715,120,129,0.145189504373178
"153",90403,9898,194,1145,0.135279854516064
"154",90404,30445,8317,5494,0.453637707341107
"155",90405,19688,3108,2933,0.306836651767574
"156",90406,31,0,0,0
"157",90407,2,NA,0,NA
"158",90408,14,0,NA,NA
"159",90409,19,0,4,0.210526315789474
"160",90410,51,0,NA,NA
"161",90501,28836,229,2324,0.088535164377861
"162",90502,16652,0,1692,0.101609416286332
"163",90503,35343,658,1682,0.0662083015024191
"164",90504,9310,131,483,0.0659505907626208
"165",90505,31037,102,2361,0.0793568966072752
"166",90506,1860,NA,0,NA
"167",90507,68,NA,0,NA
"168",90508,0,NA,0,NA
"169",90509,1948,0,91,0.0467145790554415
"170",90510,45,0,NA,NA
"171",90601,11371,0,161,0.0141588250813473
"172",90602,10160,0,546,0.053740157480315
"173",90603,4787,0,109,0.022770002088991
"174",90604,2908,0,25,0.00859697386519945
"175",90605,8648,16,65,0.00936632747456059
"176",90606,6138,NA,183,NA
"177",90607,173,NA,NA,NA
"178",90608,2130,0,NA,NA
"179",90609,16,NA,NA,NA
"180",90610,7,0,NA,NA
"181",90623,5435,0,644,0.118491260349586
"182",90630,23427,863,1941,0.11969095488112
